method,donor_id,surplus_kg,allocated_kg,waste_kg,meals_served,ngo_id,distance_km,paps_score,time_to_expiry
PAPS,D14411,24.42185634801453,24.42185634801453,0.0,61.05464087003632,NGO_425,1.246,0.8462620000000001,4.254787599596202
PAPS,D04208,23.62757120723538,23.62757120723538,0.0,59.06892801808845,NGO_487,2.1558568240832936,0.9870648590555002,14.835151692064635
PAPS,D17347,16.30784159610116,16.30784159610116,0.0,40.7696039902529,NGO_139,4.361912174817192,0.9738285269510969,3.192810298876333
PAPS,D15274,25.609912167628536,25.609912167628536,0.0,64.02478041907133,NGO_165,2.165,0.9870099999999999,17.790190985608277
PAPS,D08153,18.578008869444588,18.578008869444588,0.0,46.44502217361147,NGO_034,2.033,0.9878020000000001,14.355916308746519
PAPS,D12844,24.196891596925898,24.196891596925898,0.0,60.49222899231474,NGO_055,2.92470270585581,0.9824517837648652,5.1794509045467585
PAPS,D06820,18.376294022647876,18.376294022647876,0.0,45.94073505661969,NGO_187,0.35297779823114744,0.9978821332106131,2.0883538739776384
PAPS,D04242,24.066755023849872,24.066755023849872,0.0,60.166887559624676,NGO_114,4.5213658091126065,0.9728718051453245,15.047382855277347
PAPS,D23259,21.592065971261675,21.592065971261675,0.0,53.98016492815419,NGO_364,7.203,0.956782,13.309717501561874
PAPS,D13359,22.928458246251335,22.928458246251335,0.0,57.32114561562833,NGO_061,5.786987744598519,0.9652780735324089,13.664114688655797
PAPS,D29965,19.985171906683266,19.985171906683266,0.0,49.962929766708164,NGO_354,3.288995495945662,0.980266027024326,14.340325546975132
PAPS,D14443,3.176668709477489,3.176668709477489,0.0,7.941671773693722,NGO_480,4.761,0.9714340000000001,3.1847144277454458
PAPS,D07073,23.172407892827454,23.172407892827454,0.0,57.931019732068634,NGO_095,4.166717688302905,0.9749996938701826,7.735451656708362
PAPS,D17839,18.809469167456193,18.809469167456193,0.0,47.02367291864048,NGO_491,1.7526476565483775,0.9894841140607098,3.8539049524020754
PAPS,D28147,18.631694847033366,18.631694847033366,0.0,46.57923711758341,NGO_490,2.0068515457931544,0.987958890725241,15.809654814009496
PAPS,D05057,23.117703627482236,23.117703627482236,0.0,57.794259068705585,NGO_277,4.448389135971903,0.9733096651841686,11.972770029240927
PAPS,D15579,24.43687940560335,24.43687940560335,0.0,61.09219851400837,NGO_213,3.498,0.8395060000000001,7.294368397642387
PAPS,D17458,24.16139883797147,24.16139883797147,0.0,60.40349709492867,NGO_437,2.9886498707521785,0.982068100775487,3.016933604576378
PAPS,D03094,18.38697238666356,18.38697238666356,0.0,45.9674309666589,NGO_138,1.7827071287327176,0.9893037572276038,6.975717147450595
PAPS,D00196,3.4275784784560144,3.4275784784560144,0.0,8.568946196140036,NGO_003,2.114,0.843658,7.202933152427953
PAPS,D14012,20.07425233761274,20.07425233761274,0.0,50.18563084403185,NGO_418,9.842217331952725,0.9409466960082837,13.673698853409025
PAPS,D25580,26.825214584437106,26.825214584437106,0.0,67.06303646109276,NGO_373,4.2462230769725196,0.9745226615381648,12.20091954168341
PAPS,D29219,19.47340700652581,19.47340700652581,0.0,48.683517516314524,NGO_192,1.5557499688140795,0.9906655001871156,16.195403881221225
PAPS,D02801,17.434209166815137,17.434209166815137,0.0,43.58552291703784,NGO_385,2.2725824865031496,0.8431822525404906,9.555438802591189
PAPS,D19493,11.085676970347267,11.085676970347267,0.0,27.714192425868166,NGO_200,1.9311219718690724,0.9884132681687856,3.9135079350128272
PAPS,D24344,24.066089265882617,24.066089265882617,0.0,60.16522316470654,NGO_498,7.289,0.9562660000000001,13.41191659556792
PAPS,D28925,24.74945148910498,24.74945148910498,0.0,61.87362872276245,NGO_475,4.268,0.9743919999999999,14.172560777870359
PAPS,D00522,25.391300307579723,25.391300307579723,0.0,63.4782507689493,NGO_357,2.8483900288924104,0.9829096598266456,10.98043516111194
PAPS,D02119,23.9491750686415,23.9491750686415,0.0,59.87293767160375,NGO_036,3.364,0.979816,14.335474879272976
PAPS,D26336,16.765432478536784,16.765432478536784,0.0,41.91358119634196,NGO_170,7.247831511496763,0.9565130109310194,9.900729541830252
PAPS,D15774,4.982947965113531,4.982947965113531,0.0,12.457369912783825,NGO_410,3.8423605789706397,0.9769458365261763,10.363725270111905
PAPS,D07438,26.96659612669367,26.96659612669367,0.0,67.41649031673417,NGO_306,10.984592959065363,0.9340924422456078,8.840656293736794
PAPS,D20007,19.458515957781515,19.458515957781515,0.0,48.64628989445379,NGO_499,2.5220184299389126,0.9848678894203666,2.406706027905523
PAPS,D18402,24.29848476800948,24.29848476800948,0.0,60.7462119200237,NGO_429,8.849435063659916,0.9469033896180405,3.726262831892871
PAPS,D18789,21.818980232662145,21.818980232662145,0.0,54.54745058165536,NGO_271,19.193504865990622,0.8848389708040563,2.502866970987748
PAPS,D01551,3.6506900935495907,3.6506900935495907,0.0,9.126725233873977,NGO_337,7.284432496431903,0.9562934050214087,12.182566580220486
PAPS,D02543,3.6923886063086298,3.6923886063086298,0.0,9.230971515771573,NGO_415,3.9566809256087008,0.9762599144463477,7.029695697221227
PAPS,D21858,22.782221053764026,22.782221053764026,0.0,56.95555263441006,NGO_258,6.366789237996195,0.9617992645720228,10.137131058635244
PAPS,D21797,24.88313365442302,24.88313365442302,0.0,62.20783413605755,NGO_433,2.4139783399865573,0.9855161299600808,16.52106358281749
PAPS,D07760,19.30392619436044,19.30392619436044,0.0,48.25981548590109,NGO_087,5.935,0.9643900000000001,5.988675666381999
PAPS,D22917,26.534501036282155,26.534501036282155,0.0,66.33625259070539,NGO_204,11.259366042122862,0.9324438037472629,8.566126768570076
PAPS,D04684,23.37904438654955,23.37904438654955,0.0,58.447610966373865,NGO_045,2.624617899707432,0.9842522926017554,14.088818216688779
PAPS,D23780,18.247581847816264,18.247581847816264,0.0,45.61895461954066,NGO_247,7.484557920454093,0.8275463262386378,5.660770647865959
PAPS,D24539,19.31830529673741,19.31830529673741,0.0,48.295763241843524,NGO_497,3.656,0.978064,3.231678557260688
PAPS,D19176,24.571561578786216,24.571561578786216,0.0,61.42890394696554,NGO_177,3.0405215617251993,0.9817568706296489,6.636023246620288
PAPS,D27912,2.523421381389858,2.523421381389858,0.0,6.308553453474644,NGO_222,5.152,0.969088,4.579540596064071
PAPS,D24483,3.9706396169091174,3.9706396169091174,0.0,9.926599042272793,NGO_318,0.685,0.847945,16.87516243748117
PAPS,D06616,23.85813292082046,23.85813292082046,0.0,59.645332302051145,NGO_398,4.8338713344655115,0.9709967719932069,14.929926073030671
PAPS,D06326,20.26727597947174,20.26727597947174,0.0,50.66818994867935,NGO_286,1.6372465426541198,0.9901765207440754,12.134460104166775
PAPS,D26081,23.198781170740396,23.198781170740396,0.0,57.99695292685099,NGO_174,12.688568294128885,0.9238685902352266,15.943369443003483
PAPS,D09555,3.7800068586055624,3.7800068586055624,0.0,9.450017146513906,NGO_441,3.199,0.9808060000000001,14.858753230385831
PAPS,D08757,2.922922423822536,2.922922423822536,0.0,7.30730605955634,NGO_188,1.634,0.9901960000000001,4.985120942176573
PAPS,D18085,29.5237657314615,29.5237657314615,0.0,73.80941432865374,NGO_238,2.852,0.982888,16.280943975839644
PAPS,D05939,25.828572546274508,25.828572546274508,0.0,64.57143136568627,NGO_175,0.6181723721511906,0.8481454828835464,10.629475870650412
PAPS,D24814,24.784827914027954,24.784827914027954,0.0,61.96206978506988,NGO_100,1.839,0.8444830000000001,14.919042482625
PAPS,D22914,5.393984049584693,5.393984049584693,0.0,13.484960123961732,NGO_140,2.078,0.9875320000000001,16.337460798775894
PAPS,D19486,3.4782864319562123,3.4782864319562123,0.0,8.69571607989053,NGO_287,1.9687201884639238,0.8440938394346083,7.088055599549822
PAPS,D06262,20.41601006959966,20.41601006959966,0.0,51.04002517399915,NGO_461,2.7464053933290637,0.9835215676400257,3.760830792442828
PAPS,D21318,23.40808118219812,23.40808118219812,0.0,58.5202029554953,NGO_022,2.380444392651035,0.9857173336440939,5.646962600671067
PAPS,D11585,28.40119973562905,28.40119973562905,0.0,71.00299933907262,NGO_101,1.8226411766308852,0.9890641529402147,8.833724618020101
PAPS,D03201,4.7586134912977,4.7586134912977,0.0,11.896533728244249,NGO_089,5.4378608782597615,0.9673728347304416,15.08823625475989
PAPS,D02374,19.425388929580418,19.425388929580418,0.0,48.56347232395104,NGO_097,1.8227604704924645,0.8445317185885226,15.771689332101495
